"Age","ET","IT1","ST","NT","TT1","FT","JT","PT","AT","TT2","RPT","IPT","APT","SPT","PPT","CPT","PWP1","PRE","PWP2","PET1","PET2","PPET","IQ","RSA","RSB","RSC","RSD","RSE","ABF","BCM","CVW","CAD","EU","EM","EA","H","HEM","IT2","LR","LES","LST","MAPR","MI","PC","PSA","PHR","RS","SP","SC","TE","TL"
"34","64","36","30","70","79","21","93","7","83","17","11","4","3","12","6","7","10","1","2","1","10","0","104","100","83","75","83","42","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0"
"28","81","19","21","79","17","83","71","29","80","20","4","8","2","10","11","8","4","0","3","0","12","5","94","75","67","67","75","42","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0"
"31","41","59","15","85","41","59","74","26","38","62","11","6","2","7","11","6","6","0","6","0","10","2","116","100","83","100","75","75","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0"
"24","91","9","73","27","69","31","90","10","81","19","5","6","2","8","14","8","9","0","3","0","11","1","120","100","83","92","92","83","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0"
"34","63","37","40","60","41","59","61","39","9","91","11","6","5","11","6","4","10","2","0","1","5","6","83","75","67","75","50","17","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0"
"26","67","33","20","80","42","58","28","72","80","20","8","8","6","10","7","2","9","2","0","1","5","7","96","83","75","50","67","50","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0"
"37","91","9","38","62","20","80","81","19","63","37","8","4","6","10","11","4","10","0","0","3","10","1","106","100","83","75","75","58","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0"
"39","61","39","43","57","73","27","69","31","35","65","12","5","3","5","5","13","10","4","0","1","6","3","110","83","100","67","83","75","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0"
"26","71","29","40","60","31","69","57","43","45","55","9","10","2","3","5","14","12","8","0","1","1","2","106","100","92","92","50","58","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0"
"36","60","40","37","63","63","37","52","48","38","62","14","4","1","6","5","13","11","8","1","1","1","2","90","67","58","67","83","25","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0"
"27","18","82","27","73","80","20","15","85","33","67","10","10","4","8","3","8","3","2","3","3","1","12","94","75","75","58","58","58","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0"
"36","76","24","79","21","32","68","63","37","77","23","5","9","9","10","7","3","9","1","0","10","0","4","106","92","67","83","83","67","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0"
"34","44","56","65","35","71","29","73","27","24","76","4","13","6","10","7","3","2","10","0","1","1","10","112","92","92","83","83","67","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0"
"40","45","55","29","71","70","30","37","63","37","63","9","8","10","5","10","1","4","11","1","3","0","5","100","83","75","83","83","42","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0"
"34","63","37","30","70","62","38","69","31","45","55","10","7","10","4","9","3","3","10","1","2","0","8","102","100","83","75","67","50","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0"
"31","72","28","20","80","65","35","64","36","39","61","11","6","9","3","8","6","4","10","1","3","0","6","104","92","100","100","50","42","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0"
"30","39","61","15","85","60","40","19","81","77","23","12","4","4","9","4","10","0","1","8","3","0","12","88","100","100","58","33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0"
"27","43","57","29","71","39","61","37","63","29","71","8","11","5","11","4","4","2","12","1","2","1","6","120","100","100","83","75","92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0"
"34","72","28","76","24","41","59","44","56","39","61","8","9","10","10","4","2","5","5","0","12","1","1","116","100","83","92","83","75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0"
"33","31","69","62","38","37","63","67","33","65","35","13","6","12","3","6","3","7","10","1","4","0","2","112","100","100","92","75","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0"
"26","37","63","45","55","29","71","23","77","69","31","12","4","6","6","8","9","8","6","3","4","1","2","96","75","75","67","67","58","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0"
"29","93","7","73","27","37","63","29","71","90","10","11","3","9","9","8","9","12","3","1","7","0","1","100","100","75","67","67","58","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0"
"44","70","30","29","71","39","61","71","29","63","37","5","8","9","10","7","4","5","2","0","5","1","11","94","83","67","67","58","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0"
"26","31","69","40","60","85","15","91","9","35","65","9","12","8","6","4","4","1","3","4","4","0","12","114","100","92","92","75","67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0"
